Espc_pelicu_extranj	V3	YEAR_	MONTH_	DATE_
13424	20	2003	8	AUG 2003
9470	41	2003	9	SEP 2003
7545	16	2003	10	OCT 2003
9474	75	2003	11	NOV 2003
14250	70	2003	12	DEC 2003
12115	51	2004	1	JAN 2004
9563	50	2004	2	FEB 2004
9111	82	2004	3	MAR 2004
11037	28	2004	4	APR 2004
9970	18	2004	5	MAY 2004
7411	4	2004	6	JUN 2004
13179	7	2004	7	JUL 2004
12976	68	2004	8	AUG 2004
9146	87	2004	9	SEP 2004
9684	95	2004	10	OCT 2004
8403	89	2004	11	NOV 2004
12048	40	2004	12	DEC 2004
10740	88	2005	1	JAN 2005
9384	1	2005	2	FEB 2005
9708	91	2005	3	MAR 2005
6777	21	2005	4	APR 2005
5571	94	2005	5	MAY 2005
6082	68	2005	6	JUN 2005
10275	35	2005	7	JUL 2005
10856	28	2005	8	AUG 2005
7434	47	2005	9	SEP 2005
6611	34	2005	10	OCT 2005
9922	40	2005	11	NOV 2005
12996	3	2005	12	DEC 2005
10086	48	2006	1	JAN 2006
9338	42	2006	2	FEB 2006
7780	11	2006	3	MAR 2006
9543	69	2006	4	APR 2006
8572	61	2006	5	MAY 2006
6705	20	2006	6	JUN 2006
9662	21	2006	7	JUL 2006
11701	79	2006	8	AUG 2006
6611	88	2006	9	SEP 2006
6369	49	2006	10	OCT 2006
7080	95	2006	11	NOV 2006
9428	92	2006	12	DEC 2006
8434	45	2007	1	JAN 2007
7629	78	2007	2	FEB 2007
8007	14	2007	3	MAR 2007
9393	53	2007	4	APR 2007
8642	34	2007	5	MAY 2007
7481	23	2007	6	JUN 2007
10495	19	2007	7	JUL 2007
11331	92	2007	8	AUG 2007
6722	39	2007	9	SEP 2007
5698	75	2007	10	OCT 2007
6417	3	2007	11	NOV 2007
10881	50	2007	12	DEC 2007
7139	43	2008	1	JAN 2008
6822	81	2008	2	FEB 2008
9323	99	2008	3	MAR 2008
5244	84	2008	4	APR 2008
7342	82	2008	5	MAY 2008
5213	16	2008	6	JUN 2008
9137	30	2008	7	JUL 2008
12144	26	2008	8	AUG 2008
6714	95	2008	9	SEP 2008
7107	63	2008	10	OCT 2008
7546	15	2008	11	NOV 2008
9716	72	2008	12	DEC 2008
9306	91	2009	1	JAN 2009
7355	89	2009	2	FEB 2009
7079	58	2009	3	MAR 2009
6987	8	2009	4	APR 2009
7156	93	2009	5	MAY 2009
