accidentes	YEAR	MONTH	DATE	V5
87222	1994	7	JUL	1994
69081	1994	8	AUG	1994
80969	1994	9	SEP	1994
87820	1994	10	OCT	1994
93672	1994	11	NOV	1994
83136	1994	12	DEC	1994
79703	1995	1	JAN	1995
89015	1995	2	FEB	1995
101066	1995	3	MAR	1995
85688	1995	4	APR	1995
95202	1995	5	MAY	1995
104101	1995	6	JUN	1995
97279	1995	7	JUL	1995
81044	1995	8	AUG	1995
86304	1995	9	SEP	1995
95358	1995	10	OCT	1995
102778	1995	11	NOV	1995
83732	1995	12	DEC	1995
89089	1996	1	JAN	1996
98455	1996	2	FEB	1996
100455	1996	3	MAR	1996
94113	1996	4	APR	1996
99769	1996	5	MAY	1996
102394	1996	6	JUN	1996
106374	1996	7	JUL	1996
86329	1996	8	AUG	1996
90045	1996	9	SEP	1996
109141	1996	10	OCT	1996
103823	1996	11	NOV	1996
92510	1996	12	DEC	1996
90387	1997	1	JAN	1997
100642	1997	2	FEB	1997
97854	1997	3	MAR	1997
108269	1997	4	APR	1997
106081	1997	5	MAY	1997
115271	1997	6	JUN	1997
114939	1997	7	JUL	1997
90251	1997	8	AUG	1997
100032	1997	9	SEP	1997
124717	1997	10	OCT	1997
120723	1997	11	NOV	1997
107669	1997	12	DEC	1997
96052	1998	1	JAN	1998
107206	1998	2	FEB	1998
118803	1998	3	MAR	1998
114427	1998	4	APR	1998
115011	1998	5	MAY	1998
125464	1998	6	JUN	1998
140056	1998	7	JUL	1998
106546	1998	8	AUG	1998
117854	1998	9	SEP	1998
133248	1998	10	OCT	1998
135712	1998	11	NOV	1998
122349	1998	12	DEC	1998
