presos	YEAR_	MONTH_	DATE_
61067	2005	7	JUL 2005
61269	2005	8	AUG 2005
61156	2005	9	SEP 2005
61274	2005	10	OCT 2005
61257	2005	11	NOV 2005
61054	2005	12	DEC 2005
61447	2006	1	JAN 2006
61930	2006	2	FEB 2006
62426	2006	3	MAR 2006
62794	2006	4	APR 2006
63111	2006	5	MAY 2006
63552	2006	6	JUN 2006
63800	2006	7	JUL 2006
64120	2006	8	AUG 2006
64233	2006	9	SEP 2006
64195	2006	10	OCT 2006
64325	2006	11	NOV 2006
64021	2006	12	DEC 2006
64228	2007	1	JAN 2007
65093	2007	2	FEB 2007
65381	2007	3	MAR 2007
65539	2007	4	APR 2007
66162	2007	5	MAY 2007
65900	2007	6	JUN 2007
66400	2007	7	JUL 2007
66612	2007	8	AUG 2007
66809	2007	9	SEP 2007
67100	2007	10	OCT 2007
67428	2007	11	NOV 2007
67904	2007	12	DEC 2007
68002	2008	1	JAN 2008
69156	2008	2	FEB 2008
68002	2008	3	MAR 2008
69156	2008	4	APR 2008
71015	2008	5	MAY 2008
71778	2008	6	JUN 2008
72281	2008	7	JUL 2008
73024	2008	8	AUG 2008
73950	2008	9	SEP 2008
73558	2008	10	OCT 2008
73832	2008	11	NOV 2008
74637	2008	12	DEC 2008
75270	2009	1	JAN 2009
75877	2009	2	FEB 2009
76400	2009	3	MAR 2009
76488	2009	4	APR 2009
76259	2009	5	MAY 2009
